standard_id,standard_name,standard_type,issuer,version_year,language,scope,file_path,priority,chunk_count,avg_chunk_len,notes
GRI_1_Foundation_2021_EN,GRI 1 Foundation 2021 EN,GRI,GRI,2021,EN,all,data/raw/standards/GRI_1_Foundation_2021_EN.pdf,high,95,228,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
GRI_201_EconomicPerformance_2016_EN,GRI 201 EconomicPerformance 2016 EN,GRI,GRI,2016,EN,all,data/raw/standards/GRI_201_EconomicPerformance_2016_EN.pdf,high,45,177,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
GRI_2_GeneralDisclosures_2021_EN,GRI 2 GeneralDisclosures 2021 EN,GRI,GRI,2021,EN,all,data/raw/standards/GRI_2_GeneralDisclosures_2021_EN.pdf,high,141,191,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
GRI_305_Emissions_2016_EN,GRI 305 Emissions 2016 EN,GRI,GRI,2016,EN,all,data/raw/standards/GRI_305_Emissions_2016_EN.pdf,high,66,217,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
GRI_3_MaterialTopics_2021_EN,GRI 3 MaterialTopics 2021 EN,GRI,GRI,2021,EN,all,data/raw/standards/GRI_3_MaterialTopics_2021_EN.pdf,high,78,238,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
KESG_Guideline_2021_KO,KESG Guideline 2021 KO,K-ESG,K-ESG,2021,KO,all,data/raw/standards/KESG_Guideline_2021_KO.pdf,medium,602,311,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
SASB_Automobiles_EN,SASB Automobiles EN,SASB,SASB,,EN,all,data/raw/standards/SASB_Automobiles_EN.pdf,medium,41,192,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
SASB_CommercialBanks_EN,SASB CommercialBanks EN,SASB,SASB,,EN,all,data/raw/standards/SASB_CommercialBanks_EN.pdf,medium,45,206,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
SASB_ElectricUtilities_EN,SASB ElectricUtilities EN,SASB,SASB,,EN,all,data/raw/standards/SASB_ElectricUtilities_EN.pdf,medium,77,222,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
SASB_ElectronicManufacturing_EN,SASB ElectronicManufacturing EN,SASB,SASB,,EN,all,data/raw/standards/SASB_ElectronicManufacturing_EN.pdf,medium,43,195,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
TCFD_Annex_2021_EN,TCFD Annex 2021 EN,TCFD,TCFD,2021,EN,all,data/raw/standards/TCFD_Annex_2021_EN.pdf,high,228,252,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
TCFD_Recommendations_2017_EN,TCFD Recommendations 2017 EN,TCFD,TCFD,2017,EN,all,data/raw/standards/TCFD_Recommendations_2017_EN.pdf,high,180,235,"Parsed with v3 (front matter skip, GRI code extraction, TCFD pillar tagging)"
